iter	RMSE
192	0.3304330305
193	0.3303628081
194	0.3302832376
195	0.3301552964
196	0.3300848676
197	0.3299938989
198	0.3298990899
199	0.3298267468
200	0.329708436
201	0.3295963117
202	0.3294965029
203	0.3294102979
204	0.3293383792
205	0.3292902301
206	0.3292508391
207	0.3291330485
208	0.3290412435
209	0.3289637036
210	0.3288886876
211	0.3288237379
212	0.3287177353
213	0.3286488811
214	0.3285633989
215	0.3284902715
216	0.3284448146
217	0.3283306977
218	0.3282675349
219	0.3281622174
220	0.328106118
221	0.3280221253
222	0.3279443079
223	0.3278664518
224	0.3277701015
225	0.3276563313
226	0.3275690072
227	0.3275079752
228	0.3274532975
229	0.3273546877
230	0.3272909696
231	0.3272389486
232	0.3271523051
233	0.3270794457
234	0.3270022696
235	0.3269611294
236	0.3268878483
237	0.3268189469
238	0.3267548795
239	0.3266587813
240	0.3265576733
241	0.3264564863
242	0.3264072113
243	0.3263183859
244	0.3262485504
245	0.3261959786
246	0.3261254658
247	0.3260445153
248	0.3259617413
249	0.3258873702
250	0.3257582874
251	0.3256851238
252	0.3256053319
253	0.3255085852
254	0.325432421
255	0.3253335899
256	0.3252648314
257	0.325167396
258	0.3251032496
259	0.3250248163
260	0.3249471506
261	0.3248689469
262	0.3248150456
263	0.324779038
264	0.3246673554
265	0.3246228569
266	0.3245568286
267	0.324485219
268	0.3244109244
269	0.3243312753
270	0.3242707421
271	0.3242051391
272	0.3241153777
273	0.3240682758
274	0.3239982585
275	0.3239317751
276	0.3238912274
277	0.3238354097
278	0.3237927765
279	0.323711117
280	0.3236646168
281	0.3235894447
282	0.3234896124
283	0.3234108717
284	0.3233594928
285	0.323300141
286	0.3232032615
287	0.3231373421
288	0.3230758862
289	0.3230213622
290	0.3229741334
291	0.322904697
292	0.322806804
293	0.3227507634
294	0.3226864814
295	0.3226147951
296	0.3225321476
297	0.3224880825
298	0.3224438516
299	0.3223828537
300	0.3223013331
301	0.3222373528
302	0.3221560293
303	0.3220907726
304	0.321982653
305	0.321937628
306	0.3218678693
307	0.3218123179
308	0.3217416699
309	0.3216949229
310	0.3216202299
311	0.3215241537
312	0.3214545641
313	0.321373948
314	0.3213365529
315	0.3212957266
316	0.321200098
317	0.3211555774
318	0.3210705651
319	0.3210006328
320	0.3209334468
321	0.320880988
322	0.3207622678
323	0.320694462
324	0.3206574974
325	0.3205413048
326	0.3204727416
327	0.3204148645
328	0.3203530156
329	0.3202906939
330	0.3202137071
331	0.3201054369
332	0.3200801703
333	0.3200074282
334	0.3199462428
335	0.3198566341
336	0.3198273835
337	0.3197131822
338	0.3196269023
339	0.319518042
340	0.3194632066
341	0.3194129124
342	0.319330993
343	0.3192870752
344	0.3192228629
345	0.3191622354
346	0.3191264954
347	0.3190535183
348	0.3190130321
349	0.318952476
350	0.3188817942
351	0.3188043562
352	0.3187520374
353	0.3186255212
354	0.3185649422
355	0.3184884431
356	0.3183777029
357	0.3182832233
358	0.3182275408
359	0.3181502712
360	0.3181039985
361	0.3180627541
362	0.3179861055
363	0.3179275573
364	0.3178796028
365	0.3177967224
366	0.3177640826
367	0.3176900158
368	0.3175942765
369	0.3175109543
370	0.317433307
371	0.3173790027
372	0.3173046876
373	0.3172526771
374	0.3171441128
375	0.3170891705
376	0.3170600658
377	0.3170210937
378	0.3169600237
379	0.3169077183
380	0.3168423229
381	0.3168320037
382	0.3167714322
383	0.3167264492
384	0.3167098915
385	0.3165630529
386	0.3165380069
387	0.3165223481
388	0.3164651861
389	0.3164310363
390	0.316382201
391	0.31634724
392	0.3162938659
393	0.3162373128
394	0.3161714261
395	0.31608767
396	0.3160177746
397	0.3159357787
398	0.3158753841
399	0.3158270177
400	0.3157546205
401	0.3156421148
402	0.3155574073
403	0.3155221544
404	0.3154720019
405	0.3153827273
406	0.3153679589
407	0.3152824961
408	0.3152489589
409	0.3151633175
410	0.3151074735
411	0.315037607
412	0.3149766408
413	0.3149210821
414	0.3148450006
415	0.3148100906
416	0.314726836
417	0.3146805378
418	0.314612879
419	0.3145699428
420	0.3145385137
421	0.3144629179
422	0.314392152
423	0.3143424468
424	0.3142595558
425	0.3142281887
426	0.3141689858
427	0.3140910841
428	0.3140437671
429	0.3139460007
430	0.3138986791
431	0.3138507458
432	0.3138256463
433	0.3137646063
434	0.3136813618
435	0.3136163843
436	0.3135413744
437	0.3135251942
438	0.3134598029
439	0.3133804969
440	0.3133215923
441	0.3132338042
442	0.3131636374
443	0.3131223109
444	0.3130336197
445	0.3129734798
446	0.3129199416
447	0.3128606547
448	0.3128277847
449	0.3127716656
450	0.3126936777
451	0.3126182748
452	0.3125418509
453	0.3124768083
454	0.312430637
455	0.312382112
456	0.312344137
457	0.3122685518
458	0.3122034589
459	0.3121811327
460	0.3121223014
461	0.3120603197
462	0.3119871055
463	0.3119715174
464	0.3118913329
465	0.3118008466
466	0.3117313575
467	0.3116494964
468	0.3116044781
469	0.311538975
470	0.3115094737
471	0.3114139033
472	0.3113409766
473	0.3113192932
474	0.311287657
475	0.3112560671
476	0.3112073618
477	0.3111519858
478	0.311104278
479	0.3110459462
480	0.3109814045
481	0.3109257026
482	0.3109119689
483	0.3108742357
484	0.3107742907
485	0.3107166274
486	0.3106282792
487	0.3105450393
488	0.3104591913
489	0.3103954964
490	0.3103200604
491	0.3102662612
492	0.3102466437
493	0.3101691929
494	0.3101243182
495	0.3100666079
496	0.3099590599
497	0.309893175
498	0.3098246172
499	0.3097918393
500	0.3097420216
501	0.3096941846
502	0.3096298661
503	0.3095543146
504	0.3094726909
505	0.3094158784
506	0.3093234325
507	0.3092673693
508	0.3092057034
509	0.3091538215
510	0.3091179914
511	0.3090714634
512	0.3090222046
513	0.3089256114
514	0.3088910053
515	0.308828557
516	0.3087788217
517	0.3087244458
518	0.3086484798
519	0.3085921342
520	0.3085226399
521	0.3084493355
522	0.3084107186
523	0.3083470417
524	0.3082684509
525	0.3082017174
526	0.3081663011
527	0.3081182054
528	0.3080852768
529	0.3080213222
530	0.3079564401
531	0.3079242716
532	0.3079116927
533	0.3078561249
534	0.3077958194
535	0.3077112969
536	0.3076777861
537	0.3076273975
538	0.307571295
539	0.3075238147
540	0.3074750056
541	0.3074342227
542	0.3073770815
543	0.3073004111
544	0.3072516266
545	0.3072049793
546	0.3071304753
547	0.3070632682
548	0.3070153852
549	0.306944742
550	0.306845494
551	0.3068103685
552	0.3066769553
553	0.3066154437
554	0.3065556665
555	0.3065164574
556	0.3064765683
557	0.3064179001
558	0.3063505194
559	0.306283089
560	0.3062067174
561	0.3061836412
562	0.3061230208
563	0.3060022713
564	0.305932346
565	0.3059101659
566	0.3058443329
567	0.3058074448
568	0.3057380414
569	0.3056704163
570	0.3056068316
571	0.3055573173
572	0.3054763861
573	0.305421892
574	0.3053820909
575	0.3052991433
576	0.3052280996
577	0.3051390886
578	0.305039919
579	0.3049667038
580	0.304930161
581	0.3048678106
582	0.3048127535
583	0.3047700367
584	0.3047159562
585	0.3046805559
586	0.3046102294
587	0.3045287627
588	0.3044681997
589	0.3044021016
590	0.3043431021
591	0.3042889044
592	0.3042270498
593	0.3041772047
594	0.3041394161
595	0.3040996631
596	0.3040617155
597	0.3040001905
598	0.3039309931
599	0.3038574224
600	0.3037610875
601	0.3036582629
602	0.3035686041
603	0.3035332012
604	0.3034801916
605	0.3034277277
606	0.3034037899
607	0.3033641219
608	0.303322812
609	0.3032681068
610	0.3032226026
611	0.3031021918
612	0.3030284194
613	0.3029990312
614	0.3029744665
615	0.3029453257
616	0.3029000409
617	0.3028645509
618	0.3027906113
619	0.3027676462
620	0.3027278949
621	0.3026827041
622	0.3025869772
623	0.30255033
624	0.3025254452
625	0.3024849165
626	0.3024417574
627	0.3023878745
628	0.3023536248
629	0.3023074147
630	0.3022682282
631	0.3022315586
632	0.3021684363
633	0.3020823212
634	0.3020327044
635	0.3019845598
636	0.3019492202
637	0.3018355522
638	0.301787367
639	0.3016888976
640	0.3016250973
641	0.3015992501
642	0.3015516136
643	0.3015048661
644	0.3014373347
645	0.3014102451
646	0.3013192868
647	0.3012805059
648	0.3012228528
649	0.3011231759
650	0.301071658
651	0.3010112704
652	0.3009806737
653	0.3009349566
654	0.3008904962
655	0.3008350714
656	0.3007955214
657	0.3007491881
658	0.3007190532
659	0.3006735264
660	0.3006113999
661	0.3005397468
662	0.3005126064
663	0.300446859
664	0.300399722
665	0.3003255978
666	0.3002807417
667	0.3002428155
668	0.3002141617
669	0.300151393
670	0.3000731449
671	0.3000183965
672	0.2999562758
673	0.2999092746
674	0.2998524408
675	0.2998074548
676	0.2997559208
677	0.2997030488
678	0.2996606822
679	0.2996233796
680	0.2995678023
681	0.2994839455
682	0.2993816377
683	0.2993140687
684	0.2992736056
685	0.2992481192
686	0.2992053422
687	0.2991099463
688	0.2990665195
689	0.2989985942
690	0.2989596948
691	0.298910455
692	0.2988608499
693	0.2988121324
694	0.2987596447
695	0.2987073407
696	0.2986345017
697	0.2985818738
698	0.2985265582
699	0.2984908046
700	0.2984063006
701	0.2983483409
702	0.2982814445
703	0.2982158556
704	0.2981653902
705	0.2981450901
706	0.2980957274
707	0.2980557876
708	0.2980117188
709	0.2979779754
710	0.2979277324
711	0.2978754796
712	0.2978215858
713	0.297796419
714	0.297754457
715	0.2977048831
716	0.2976732367
717	0.2976100359
718	0.2975309337
719	0.2974587896
720	0.2974389026
721	0.2974017777
722	0.2973505932
723	0.2973243148
724	0.2972741925
725	0.2971833035
726	0.2971569917
727	0.2970612184
728	0.2970166106
729	0.2969567149
730	0.2969121561
731	0.2967878577
732	0.2967525493
733	0.2966717122
734	0.2966342674
735	0.2965924722
736	0.2965658255
737	0.2964976176
738	0.2964513814
739	0.296399445
740	0.2963275197
741	0.2962423497
742	0.2961869446
743	0.2961289406
744	0.2960828411
745	0.2960530118
746	0.2960092192
747	0.2959270891
748	0.2958763188
749	0.2958383468
750	0.2957884383
751	0.295715566
752	0.2956592575
753	0.2955569698
754	0.2954888456
755	0.2954577783
756	0.2953886363
757	0.2953318506
758	0.2952544044
759	0.2951987883
760	0.2951434246
761	0.2951040696
762	0.2950734797
763	0.2950256629
764	0.2949391394
765	0.2948658112
766	0.2948062612
767	0.2947559115
768	0.2947130352
769	0.2946633766
770	0.2945645681
771	0.2945085307
772	0.2944449181
773	0.2944002377
774	0.2943340439
775	0.2942876649
776	0.2942324525
777	0.2941806851
778	0.2941067055
779	0.2940754542
780	0.2940323667
781	0.2939408912
782	0.2938596541
783	0.293762361
784	0.2937307498
785	0.2936938189
786	0.293630119
787	0.2935919424
788	0.2935354529
789	0.2934630302
790	0.2934003769
791	0.2933481617
792	0.2933011388
793	0.2932467986
794	0.2931639539
795	0.2931343472
796	0.2930827578
797	0.2929954915
798	0.2929538101
799	0.2928948226
800	0.2928129513
801	0.2927697056
802	0.2926720431
803	0.2926123371
804	0.2925584046
805	0.2925094071
806	0.292456971
807	0.2924337528
808	0.2923914354
809	0.2923557553
810	0.2923193241
811	0.2922755406
812	0.2922476976
813	0.2922068625
814	0.2921771226
815	0.2921517664
816	0.292057507
817	0.2920253758
818	0.2919944454
819	0.2919475391
820	0.291888518
821	0.2918113231
822	0.2917557844
823	0.29174565
824	0.291708802
825	0.2916380468
826	0.2915939135
827	0.2915004107
828	0.2914765331
829	0.2914469975
830	0.2913795423
831	0.2913583419
832	0.291332169
833	0.291295975
834	0.29126299
835	0.2912190805
836	0.2911854595
837	0.2911494546
838	0.2911122561
839	0.2910680667
840	0.29101922
841	0.2909958498
842	0.2909578003
843	0.2909037405
844	0.2908493061
845	0.2907906534
846	0.2907494098
847	0.2907089777
848	0.2906371332
849	0.2905660429
850	0.2905435714
851	0.2904741478
852	0.2904324534
853	0.2903796232
854	0.290339503
855	0.2902991763
856	0.2902602053
857	0.2901849782
858	0.2901516872
859	0.2901221625
860	0.2900538151
861	0.2900031427
862	0.2899322939
863	0.2898862319
864	0.2898519205
865	0.2897883777
866	0.2897384274
867	0.2897054769
868	0.2896618047
869	0.2896220367
870	0.2895432996
871	0.2894960679
872	0.2894657326
873	0.2894172475
874	0.2893657826
875	0.2893142446
876	0.2892426468
877	0.289205294
878	0.2891787794
879	0.2891311339
880	0.2890720753
881	0.2890460478
882	0.2890043428
883	0.2889694283
884	0.2889058285
885	0.2888535641
886	0.2888142092
887	0.288748296
888	0.2886665475
889	0.2886333643
890	0.2885926504
891	0.2885563718
892	0.2885205492
893	0.2884554684
894	0.2883844784
895	0.2883182451
896	0.2882790607
897	0.2882345388
898	0.2882040312
899	0.2881648588
900	0.2880967818
901	0.2880576277
902	0.2880014044
903	0.2879607573
904	0.2879227169
905	0.287849128
906	0.2878007418
907	0.2877267057
908	0.287660302
909	0.2876171031
910	0.2875359364
911	0.2874894078
912	0.2874254371
913	0.2873669118
914	0.2873452066
915	0.2872940153
916	0.2872626388
917	0.2872358751
918	0.2871877431
919	0.2871425476
920	0.2871133433
921	0.2870825165
922	0.2870425578
923	0.2869602882
924	0.286905971
925	0.286873433
926	0.2868245434
927	0.2867617759
928	0.2867227527
929	0.2866576922
930	0.286609616
931	0.2865821408
932	0.2865355271
933	0.2864932333
934	0.286456278
935	0.2864466522
936	0.2863734124
937	0.2862988478
938	0.2862246117
939	0.28616859
940	0.2861387104
941	0.2861065759
942	0.2860656661
943	0.2860143061
944	0.2859535442
945	0.2858954164
946	0.2858593165
947	0.2858150331
948	0.2857639433
949	0.2857262583
950	0.2856248595
951	0.2855744662
952	0.2855034297
953	0.2854181759
954	0.2853611507
955	0.285316123
956	0.2852577781
957	0.285216609
958	0.2851921682
959	0.2851435947
960	0.2850893621
961	0.2850527228
962	0.2849948168
963	0.284948205
964	0.2849003061
965	0.2848642025
966	0.2848031224
967	0.2847402622
968	0.2846905492
969	0.2846232064
970	0.284598338
971	0.2845607718
972	0.2845154787
973	0.2844724417
974	0.2843959029
975	0.2843669011
976	0.2843263038
977	0.2842650893
978	0.2842223904
979	0.2841432431
980	0.2841027721
981	0.2840472313
982	0.2839919109
983	0.2839406232
984	0.2838835848
985	0.2838493332
986	0.2838122787
987	0.2837788258
988	0.2837330534
989	0.2836959101
990	0.2836480545
991	0.2836157227
992	0.2835666514
993	0.2835140948
994	0.2834768308
995	0.2834442967
996	0.2834100167
997	0.283356721
998	0.2833117826
999	0.2832659985
